
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1986,21,PIT,NL,113,484,413,72,92,26,3,16,48,36,7,65,102,.223,.330,.416,.746,103,172,4,2,2,2,2,*8,RoY-6
1987,22,PIT,NL,150,611,551,99,144,34,9,25,59,32,10,54,88,.261,.329,.492,.821,114,271,4,3,0,3,3,*78/9,
1988,23,PIT,NL,144,614,538,97,152,30,5,24,58,17,11,72,82,.283,.368,.491,.859,148,264,3,2,0,2,14,*7/8,
1989,24,PIT,NL,159,679,580,96,144,34,6,19,58,32,10,93,93,.248,.351,.426,.777,126,247,9,1,1,4,22,*7,
1990 ★,25,PIT,NL,151,621,519,104,156,32,3,33,114,52,13,93,83,.301,.406,.565,.970,170,293,8,3,0,6,15,*7/8,ASMVP-1GGSS
1991,26,PIT,NL,153,634,510,95,149,28,5,25,116,43,13,107,73,.292,.410,.514,.924,160,262,8,4,0,13,25,*7/8,MVP-2GGSS
1992 ★,27,PIT,NL,140,612,473,109,147,36,5,34,103,39,8,127,69,.311,.456,.624,1.080,204,295,9,5,0,7,32,*7,ASMVP-1GGSS
1993 ★,28,SFG,NL,159,674,539,129,181,38,4,46,123,29,12,126,79,.336,.458,.677,1.136,206,365,11,2,0,7,43,*7,ASMVP-1GGSS
1994 ★,29,SFG,NL,112,474,391,89,122,18,1,37,81,29,9,74,43,.312,.426,.647,1.073,183,253,3,6,0,3,18,*7,ASMVP-4GGSS
1995 ★,30,SFG,NL,144,635,506,109,149,30,7,33,104,31,10,120,83,.294,.431,.577,1.009,170,292,12,5,0,4,22,*7,ASMVP-12
1996 ★,31,SFG,NL,158,675,517,122,159,27,3,42,129,40,7,151,76,.308,.461,.615,1.076,188,318,11,1,0,6,30,*7/8,ASMVP-5GGSS
1997 ★,32,SFG,NL,159,690,532,123,155,26,5,40,101,37,8,145,87,.291,.446,.585,1.031,170,311,13,8,0,5,34,*7,ASMVP-5GGSS
1998 ★,33,SFG,NL,156,697,552,120,167,44,7,37,122,28,12,130,92,.303,.438,.609,1.047,178,336,15,8,1,6,29,*7,ASMVP-8GG
1999,34,SFG,NL,102,434,355,91,93,20,2,34,83,15,2,73,62,.262,.389,.617,1.006,156,219,6,3,0,3,9,7/D,MVP-24
2000 ★,35,SFG,NL,143,607,480,129,147,28,4,49,106,11,3,117,77,.306,.440,.688,1.127,188,330,6,3,0,7,22,*7,ASMVP-2SS
2001 ★,36,SFG,NL,153,664,476,129,156,32,2,73,137,13,3,177,93,.328,.515,.863,1.379,259,411,5,9,0,2,35,*7/D,ASMVP-1SS
2002 ★,37,SFG,NL,143,612,403,117,149,31,2,46,110,9,2,198,47,.370,.582,.799,1.381,268,322,4,9,0,2,68,*7/D,ASMVP-1SS
2003 ★,38,SFG,NL,130,550,390,111,133,22,1,45,90,7,0,148,58,.341,.529,.749,1.278,231,292,7,10,0,2,61,*7/D,ASMVP-1SS
2004 ★,39,SFG,NL,147,617,373,129,135,27,3,45,101,6,1,232,41,.362,.609,.812,1.422,263,303,5,9,0,3,120,*7/D,ASMVP-1SS
2005,40,SFG,NL,14,52,42,8,12,1,0,5,10,0,0,9,6,.286,.404,.667,1.071,174,28,0,0,0,1,3,7,
2006,41,SFG,NL,130,493,367,74,99,23,0,26,77,3,0,115,51,.270,.454,.545,.999,156,200,9,10,0,1,38,*7/D,
2007 ★,42,SFG,NL,126,477,340,75,94,14,0,28,66,5,0,132,54,.276,.480,.565,1.045,169,192,13,3,0,2,43,*7/D,AS
22 Yrs,22 Yrs,22 Yrs,22 Yrs,2986,12606,9847,2227,2935,601,77,762,1996,514,141,2558,1539,.298,.444,.607,1.051,182,5976,165,106,4,91,688,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,684,534,121,159,33,4,41,108,28,8,139,83,.298,.444,.607,1.051,182,324,9,6,0,5,37,,
,,,,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
SFG (15 yrs),SFG (15 yrs),SFG (15 yrs),SFG (15 yrs),1976,8351,6263,1555,1951,381,41,586,1440,263,69,1947,949,.312,.477,.666,1.143,199,4172,120,86,1,54,575,,
PIT (7 yrs),PIT (7 yrs),PIT (7 yrs),PIT (7 yrs),1010,4255,3584,672,984,220,36,176,556,251,72,611,590,.275,.380,.503,.883,147,1804,45,20,3,37,113,,
