
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
1907,19,WSH,AL,5,9,.357,1.88,14,12,2,11,2,0,110.1,100,35,23,1,20,,71,2,0,4,432,129,1.61,1.088,8.2,0.1,1.6,5.8,3.55,
1908,20,WSH,AL,14,14,.500,1.65,36,30,6,23,6,1,256.1,194,75,47,0,53,,160,11,1,13,985,138,1.60,0.964,6.8,0.0,1.9,5.6,3.02,
1909,21,WSH,AL,13,25,.342,2.22,40,36,3,27,4,1,296.1,247,112,73,1,84,,164,15,0,12,1219,111,2.16,1.117,7.5,0.0,2.6,5.0,1.95,
1910,22,WSH,AL,25,17,.595,1.36,45,42,3,38,8,1,370.0,262,92,56,1,76,,313,13,0,21,1367,183,1.39,0.914,6.4,0.0,1.8,7.6,4.12,
1911,23,WSH,AL,25,13,.658,1.90,40,37,3,36,6,1,322.1,292,119,68,8,70,,207,8,0,17,1306,173,2.53,1.123,8.2,0.2,2.0,5.8,2.96,MVP-5
1912,24,WSH,AL,33,12,.733,1.39,50,37,13,34,7,2,369.0,259,89,57,2,76,,303,16,0,11,1413,240,2.03,0.908,6.3,0.0,1.9,7.4,3.99,MVP-3
1913,25,WSH,AL,36,7,.837,1.14,48,36,10,29,11,2,346.0,232,56,44,9,38,,243,9,0,2,1271,259,1.90,0.780,6.0,0.2,1.0,6.3,6.39,MVP-1
1914,26,WSH,AL,28,18,.609,1.72,51,40,9,33,9,1,371.2,287,88,71,3,74,,225,11,1,14,1406,164,2.02,0.971,6.9,0.1,1.8,5.4,3.04,
1915,27,WSH,AL,27,13,.675,1.55,47,39,8,35,7,4,336.2,258,83,58,1,56,,203,19,0,7,1280,191,1.91,0.933,6.9,0.0,1.5,5.4,3.63,
1916,28,WSH,AL,25,20,.556,1.90,48,38,10,36,3,1,369.2,290,105,78,0,82,,228,9,0,9,1410,147,1.82,1.006,7.1,0.0,2.0,5.6,2.78,
1917,29,WSH,AL,23,16,.590,2.21,47,34,12,30,8,3,326.0,248,105,80,3,68,,188,14,0,7,1255,120,1.98,0.969,6.8,0.1,1.9,5.2,2.76,
1918,30,WSH,AL,23,13,.639,1.27,39,29,10,29,8,3,326.0,241,71,46,2,70,,162,8,0,8,1261,214,2.03,0.954,6.7,0.1,1.9,4.5,2.31,
1919,31,WSH,AL,20,14,.588,1.49,39,29,10,27,7,2,290.1,235,73,48,0,51,,147,7,1,4,1131,215,2.07,0.985,7.3,0.0,1.6,4.6,2.88,
1920,32,WSH,AL,8,10,.444,3.13,21,15,6,12,4,3,143.2,135,68,50,5,27,,78,5,1,5,583,119,2.78,1.128,8.5,0.3,1.7,4.9,2.89,
1921,33,WSH,AL,17,14,.548,3.51,35,32,2,25,1,1,264.0,265,122,103,7,92,,143,2,0,7,1119,117,3.43,1.352,9.0,0.2,3.1,4.9,1.55,
1922,34,WSH,AL,15,16,.484,2.99,41,31,9,23,4,4,280.0,283,115,93,8,99,,105,7,0,3,1195,130,3.77,1.364,9.1,0.3,3.2,3.4,1.06,MVP-17
1923,35,WSH,AL,17,12,.586,3.48,42,34,8,18,3,4,261.0,263,112,101,9,73,,130,20,0,2,1096,109,3.45,1.287,9.1,0.3,2.5,4.5,1.78,MVP-20
1924,36,WSH,AL,23,7,.767,2.72,38,38,0,20,6,0,277.2,233,97,84,10,77,,158,10,0,4,1148,149,3.31,1.116,7.6,0.3,2.5,5.1,2.05,MVP-1
1925,37,WSH,AL,20,7,.741,3.07,30,29,1,16,3,0,229.0,217,95,78,7,78,,108,7,0,1,967,138,3.68,1.288,8.5,0.3,3.1,4.2,1.38,
1926,38,WSH,AL,15,16,.484,3.63,33,33,0,22,2,0,260.2,259,120,105,13,73,,125,5,0,2,1101,107,3.50,1.274,8.9,0.4,2.5,4.3,1.71,
1927,39,WSH,AL,5,6,.455,5.10,18,15,2,7,1,0,107.2,113,70,61,7,26,,48,7,0,1,460,80,3.90,1.291,9.4,0.6,2.2,4.0,1.85,
21 Yrs,21 Yrs,21 Yrs,21 Yrs,417,279,.599,2.17,802,666,127,531,110,34,5914.1,4913,1902,1424,97,1363,,3509,205,4,154,23405,147,2.42,1.061,7.5,0.1,2.1,5.3,2.57,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,19,13,.599,2.17,37,31,6,25,5,2,274,228,88,66,4,63,,163,9,0,7,1084,147,2.42,1.061,7.5,0.1,2.1,5.3,2.57,
,,,,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
